date,close,high,low,open,volume,AD,OBV,ADOSC,MULT,SUM,ASIT,VAR
1991/5/14,107.19,107.84,107.06,107.21,267,56111.15731763249,23271.0,-3962.5807403922736,11545.3504,3475.540000000002,-168.52904285223553,1.0177439999988565
1991/5/15,106.57,106.6,106.42,106.56,390,56371.15731763247,22881.0,-3256.3605718000035,11344.372,3460.900000000002,-176.86238473333924,0.9208640000015292
1991/5/16,105.77,105.86,105.69,105.83,3108,56188.33378822063,19773.0,-2729.5906647523952,11188.3434,3444.960000000002,-185.40562376568002,0.9236799999998766
1991/5/17,106.75,106.75,104.96,105.12,20192,76380.33378822063,39965.0,4158.7779940172995,11204.48,3429.990000000002,-190.50598536686408,0.4694239999989804
1991/5/20,107.82,107.82,106.71,107.76,863,77243.33378822063,40828.0,6873.2671731487935,11505.472199999998,3416.2700000000023,-192.8159113576632,0.4613599999993312
1991/5/21,108.81,108.89,108.62,108.89,771,77557.44489933173,41599.0,7458.84199331532,11827.6318,3403.990000000002,-193.45854871149302,1.121023999996396
1991/5/22,108.25,109.82,108.11,109.71,18677,61938.667121553975,22922.0,2050.7076728800453,11872.6402,3391.6200000000017,-193.1294944729817,1.1868800000011106
1991/5/23,109.08,109.16,107.35,107.52,5609,67051.8439171341,28531.0,1278.781006488367,11718.326000000001,3380.5400000000022,-190.42230663224538,0.6758159999990312
1991/5/24,110.08,110.08,109.82,110.07,1024,68075.8439171341,29555.0,1172.5581878291996,12088.985599999998,3370.9800000000023,-183.9770598723073,0.595895999997083
1991/5/27,110.66,111.07,109.47,111.05,8619,72277.60641713413,38174.0,2359.431631302345,12158.8329,3362.4300000000017,-175.61462107007554,0.7640239999927871
1991/5/28,111.68,111.68,111.36,111.61,1630,73907.60641713413,39804.0,3149.113346241153,12436.6848,3355.340000000002,-165.69456133998492,1.4321599999948376
1991/5/29,112.75,112.75,111.67,112.75,530,74437.60641713413,40334.0,3354.518289057829,12590.7925,3349.750000000002,-152.92720073366206,1.6121599999933096
1991/5/30,113.82,113.82,112.77,113.74,388,74825.60641713413,40722.0,3257.045921204859,12835.4814,3345.670000000002,-138.37563258211958,1.8510559999958789
1991/5/31,114.83,114.83,113.84,114.83,1211,76036.60641713413,41933.0,3306.3939597009307,13072.2472,3343.050000000002,-125.60345327966185,2.1968559999950235
1991/6/3,115.97,115.97,114.89,115.9,954,76990.60641713413,42887.0,3329.545979112867,13323.7933,3341.940000000002,-113.53380837988406,2.2733199999911453
1991/6/4,117.12,117.12,116.83,117.12,3603,80593.60641713413,46490.0,4182.740352589331,13683.1296,3342.430000000001,-101.62533640880292,2.3734159999930853
1991/6/5,118.17,118.17,117.14,118.17,308,80901.60641713413,46798.0,4249.525291503407,13842.4338,3344.410000000001,-86.16262717613735,2.4167759999945697
1991/6/6,119.35,119.35,118.17,119.26,266,81167.60641713413,47064.0,3975.16228546793,14103.5895,3347.970000000001,-69.13344568563828,2.5273759999963654
1991/6/7,120.47,120.47,119.35,120.46,100,81267.60641713413,47164.0,3533.3626661381713,14378.0945,3353.0800000000013,-52.471158171098864,2.522863999996844
1991/6/10,121.67,121.67,120.47,121.65,400,81667.60641713413,47564.0,3158.684397672536,14657.5849,3359.1900000000014,-35.012830453894715,2.6003839999993943
1991/6/11,122.89,122.89,121.67,122.89,543,82210.60641713413,48107.0,2891.026524420915,14952.0263,3367.3300000000013,-16.212280875922186,2.7665599999982082
1991/6/12,124.11,124.11,122.89,123.9,1372,83582.60641713413,49479.0,2955.254983143357,15251.8779,3377.5000000000014,2.4460824808191357,2.8520960000023483
